aa a:a:
allerhöchstens al6h2:kst@ns
allerlei al6laI
alles al@s
allesamt al@zamt
allgemein alg@maIn
allgemeine alg@maIn@
allgemeinen alg@maIn@n
allgemeiner alg@maIn6
allgemeines alg@maIn@s
allgäu algOY
allgäuisch algOYIS
allgäus algOYs
allianz ali:ants
allianzen ali:ants@n
alliebend alli:b@nt
alliierte ali:i:6t@
alliiertem ali:i:6t@m
alliierten ali:i:6t@n
alliierter ali:i:6t6
alliiertes ali:i:6t@s
alljährlich aljE:6lIC
allmächtige almECti:g@
allmählich almE:lIC
allodial alo:di:a:l
alltag alta:k
alltagsgebrauch altaksg@bRaUx
alltagsleben alta:ksle:b@n
alluvial alu:vi:a:l
alluvion alu:vi:o:n
alluvionen alu:vi:o:n@n
alma alma:
almenrausche alm@nRaUS@
alois alOYs
aloysius alOYzi:Us
alpen alp@n
alpha alfa:
alphabet alfabe:t
alphabets alfa:be:ts
alpträume alptROYm@
als als
also alzo:
alt alt
altaisch alta:IS
altbekannte altb@kant@
alte alt@
altem alt@m
alten alt@n
altenaisch alt@naIS
altenbrunslar alt@nbRUnsla:6
altenhilfe alt@nhIlf@
altenpflege alt@npfle:g@
altenwohnheim alt@nvo:nhaIm
alter alt6
alternativ alt6nati:f
alternative alt6nati:v@
alternativen alt6nati:v@n
alternierende alt6ni:R@nd@
alternierender alt6ni:REnd6
alters alt6s
altersgrenze alt6sgREnts@
altersgruppe alt6sgRUp@
altersgruppen alt6sgRUp@n
altersheim alt6shaIm
altersklasse alt6sklas@
altersversorgung alt6sfE6zO6gUN
altertum alt6tUm
altertümliche alt6ty:mlIC@
altgriechisch altgRi:CIS
althochdeutsche altho:xdOYtS@
althochdeutschen altho:xdOYtS@n
altjahrabende altja:6a:b@nd@
altjahrsabende altja:6sa:b@nd@
altlast altlast
altmeister altmaIst6
altmodisch altmo:dIS
altonaisch alto:naIS
altpapier altpapi:6
altpersisch altpERzIS
altschulden altSUld@n
altstadt altStat
aluminium alu:mi:ni:Um
aluminiumdrucke alu:mi:ni:UmdRUk@
aluminiumdrucken alu:mi:ni:UmdRUk@n
aluminiums alu:mi:ni:Ums
alveolar alveo:la:6
alveolars alveo:la:6s
alzey altsaI
am am
amar ama:6
amazonen amatso:n@n
ambiente ambjEnt@
ambiguität ambi:gu:i:tE:t
ambiguitäten ambi:gu:i:tE:t@n
ambitionieren ambi:tsjoni:R@n
ambitiös ambi:tsi:2:s
ambrosia ambRo:zi:a:
